127.0.0.1 - - [07/Apr/2022:12:26:48 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:49 -0500] "GET /Strategos/ HTTP/1.1" 200 8355
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:49 -0500] "GET /Strategos/componentes/estilos/estilos.css;jsessionid=0D2D841DA59C6B74204ACD25A8268AE8 HTTP/1.1" 200 23323
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:49 -0500] "GET /Strategos/paginas/comunes/jQuery/js/jquery.min.js;jsessionid=0D2D841DA59C6B74204ACD25A8268AE8 HTTP/1.1" 200 95699
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:49 -0500] "GET /Strategos/componentes/comunes/vineta.gif;jsessionid=0D2D841DA59C6B74204ACD25A8268AE8 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:57 -0500] "GET /Strategos/ HTTP/1.1" 200 8355
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:57 -0500] "GET /Strategos/componentes/estilos/estilos.css;jsessionid=0953F71497B8A4259734214B4767BB36 HTTP/1.1" 200 23323
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:57 -0500] "GET /Strategos/paginas/comunes/jQuery/js/jquery.min.js;jsessionid=0953F71497B8A4259734214B4767BB36 HTTP/1.1" 200 95699
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:57 -0500] "GET /Strategos/componentes/comunes/vineta.gif;jsessionid=0953F71497B8A4259734214B4767BB36 HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:58 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:59 -0500] "GET /Strategos/componentes/estilos/estilos.css HTTP/1.1" 200 23323
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:59 -0500] "GET /Strategos/paginas/comunes/jQuery/js/jquery.min.js HTTP/1.1" 200 95699
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:59 -0500] "GET /Strategos/componentes/validaciones/validacionesJs.js HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:26:59 -0500] "GET /Strategos/componentes/estilos/botones.css HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/paginas/comunes/jQuery/window-modal/css/window-modal.css HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/comunes/jsComunes.jsp HTTP/1.1" 200 49806
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/comunes/base64.js HTTP/1.1" 200 2990
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/comunes/md5.js HTTP/1.1" 200 9611
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/logos/logo.gif HTTP/1.1" 200 2831
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/formulario/buscar.gif HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/formulario/aceptar.gif HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/comunes/staticJavascript.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/mensajes/bloqueoEspera/fondo.gif HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/mensajes/bloqueoEspera/enEspera.gif HTTP/1.1" 200 1412
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/mensajes/rejillaFondo.gif HTTP/1.1" 200 98
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/componentes/mensajes/progreso.gif HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:00 -0500] "GET /Strategos/ingreso.action?pantallaAlto=980&pantallaAncho=1905&navegadorNombre=Netscape&navegadorVersion=5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/100.0.4896.75%20Safari/537.36&sesId=0953F71497B8A4259734214B4767BB36&versionApp=8.01&buildApp=220307&fechaApp=07/03/2022 HTTP/1.1" 200 42866
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:03 -0500] "POST /Strategos/logon.action HTTP/1.1" 200 42874
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:03 -0500] "GET /Strategos/componentes/comunes/jsComunes.jsp HTTP/1.1" 200 49806
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:03 -0500] "GET /Strategos/componentes/comunes/staticJavascript.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:09 -0500] "POST /Strategos/logout.action?usuario=admin HTTP/1.1" 200 8091
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:09 -0500] "GET /Strategos/componentes/comunes/vineta.gif HTTP/1.1" 200 73
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:09 -0500] "GET /Strategos/ingreso.action?pantallaAlto=980&pantallaAncho=1905&navegadorNombre=Netscape&navegadorVersion=5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/100.0.4896.75%20Safari/537.36&sesId=CBB6F70172D8FF643818B1F994BE1F34&versionApp=8.01&buildApp=220307&fechaApp=07/03/2022 HTTP/1.1" 200 42865
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:09 -0500] "GET /Strategos/componentes/comunes/staticJavascript.jsp HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:09 -0500] "GET /Strategos/componentes/comunes/jsComunes.jsp HTTP/1.1" 200 49806
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/comunes/jsComunes.jsp HTTP/1.1" 200 51235
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/logos/logo_pequeno.png HTTP/1.1" 200 1444
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraAplicacion/inicio.gif HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraAplicacion/manual.gif HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraAplicacion/salir.gif HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraAplicacion/acercade.gif HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/explicaciones/Explicacion.js HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraArea/subir.gif HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/organizacion.png HTTP/1.1" 200 3125
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/indicadores.gif HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/problemas.png HTTP/1.1" 200 2483
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "POST /Strategos/logon.action HTTP/1.1" 200 112386
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/planes.gif HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/calculos/calculosJs/Calculo.js HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/graficos/Grafico.js HTTP/1.1" 200 1687
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/menu/listmenu_fallback.css HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/menu/listmenu.css HTTP/1.1" 200 3542
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/menu/fsmenu.js HTTP/1.1" 200 15567
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/iniciativas.gif HTTP/1.1" 200 5274
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraArea/botonSeleccionado.gif HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/Portafolio.png HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/riesgo.gif HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/PresentacionEjecutiva.png HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/barraHerramientas/grafico_1.gif HTTP/1.1" 200 737
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/vistaDatos.gif HTTP/1.1" 200 1883
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraHerramientas/barraHerramientas.js HTTP/1.1" 200 1284
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/informe.gif HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/imagenes/administracion.gif HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/visorArbol.js HTTP/1.1" 200 11779
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraArea/bajar.gif HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/menu/separador.gif HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraHerramientas/nuevo_1.gif HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraHerramientas/modificar_1.gif HTTP/1.1" 200 651
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraHerramientas/separador.gif HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/barraHerramientas/calculo_1.gif HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraHerramientas/eliminar_1.gif HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraHerramientas/propiedades_1.gif HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/barraHerramientas/pdf_1.gif HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/menu/submenu.gif HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/menosterm.gif HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/nodoexp.gif HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/masempal.gif HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/menosempal.gif HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/nodo.gif HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/topeexp.gif HTTP/1.1" 200 1026
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/vert.gif HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/empalme.gif HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/arrow_gris.gif HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/terminal.gif HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/visorArbol/masterm.gif HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:12 -0500] "GET /Strategos/componentes/menu/listmenu_fallback.css HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/comunes/jsComunes.jsp HTTP/1.1" 200 51235
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/iniciativas/gestionarIniciativas.action?defaultLoader=true&source=General&actualizarForma=true HTTP/1.1" 200 162495
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/planificacionseguimiento/actividades/Actividad.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/menu/listmenu_fallback.css HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/componentes/comunes/XmlTextWriter.js HTTP/1.1" 200 8410
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/indicadores/imagenes/barraHerramientas/explicaciones_1.gif HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [07/Apr/2022:12:27:38 -0500] "GET /Strategos/paginas/strategos/duppont/Duppont.js HTTP/1.1" 200 892
